1996	MAHORAGA IBERO - AMERICAN CUP  (Finals)	2336764	1993418	4943863	4377326	4225904	4479728	4483758	4339591	2149731	4284780	1093703	2016168	544136	4108168	3069278	1921396	2981456	3169255	2651801	2252249
1989	KEL LAN Tournament 3 (Finals & Grand-Finals)	2138577	3468147	4543329	4971837	4384562	4881763	2962206	4669813	4723710	4864391	4225846	3798091	2382647	2916949	335800	1121504				4872864
1986	RESURRECTION CUP 2024 (Grand-Finals)	4704067	4704020	4704025	4704035	4702398		4704042	4703461	4704062	4704064	4704071	4703464	4704077	4703624	4703990	4704341	4703705	4704099	4704097	4704129
1980	Winner's Circle 2025 (Grand-Finals)	4777983	3981374	3269529	4377326	4291626	4647118	4483758	4122129	5006948	4798382	1707533	5268481	5268480	4205375	3665817	1922693				5267847
1979	osu! World Cup 2023 (Grand-Finals)	4392947	4392960	2809623	4392977	4392985		4392949	4392963	4392955	4392958	1428309	4393036	4392966	4393043	4393047	131564	4393040	4393042	4414654	4393066
1978	Dio's Bizarre Holiday Singles (Semi-Finals)	1296370	3320181	4284299	4663105	3967125	2655982	3829894	3758327	2809623	4519498	4759466	3598842	2722840	4324699	707802	4612257				4691422
1978	osu! Korean Tournament 2024 (Grand-Finals)	4777983	4177202	4236387	3725672	4062076	4518197	4704067	4122129	3718868	4112730	4757319	2722432	1872396	4466556	386728	4745651				4778243
1971	Resurrection Cup 2025 (Finals)	5214742	5214103	4217520	5214009	5216647		5214265	3868007	5214141	5214110	5214107	5214242	3854365	1461594	4853510	5087809	5214179	5214778	4926580	5214139
1969	Moscow osu! Event 2025 Tournament	5212194	5212331	5212163	5212342	5212339	5212344	5211770	5212340	5212356	5212343	5212658	5212350	5212352	5212348	5212314	5212351				5212579
1963	osu! Philippines Nationals 2025 (Grand-Finals)	4895851	2677494	4242563	4446922	3792530	3081766	4643768	4872667	4811200	4393040	3802467	962454	2210076	2309955	2405667	49101				4985208
1963	MAHORAGA IBERO - AMERICAN CUP (Semi-Finals)	3802259	2797918	4757532	5017759	4096455	3169158	4898008	3450300	3157782	4798382	4276022	2954855	1024483	1580161	3333770	2177100	1010596	4225846	4186126	4892836
1961	Spanish Showdown 2024 (Grand-Finals)	4678329	3747453	4519915	4278109	3243569	4525597	3829894	4122129	4538045	4376786	4678330	4526878	795627	3307365	2279885	4439007				3534950
1960	Corsace Open 2024 (Week 4)	4756583	4757408	4757418	4757430	4757414		4757532	4757236	4757552	4756886	4757319	4757386	4756236	4757288	4757584	4757187	4757410	4756890		4757372
1960	USA States Cup 2025 (Grand-Finals)	1277254	1243079	4956471	4314996	5149781		4864391	2658972	43146	3784709	1851537	3134089	4887064	4746040	108297	1220408	3842149	3802313	5209081	4872864
1959	COE x Yuki Aim 1v1 Tournament	4647035	3238282	4715383	2809623	4533859		4113673	3169255	3020221	3793495	4715094	4715384	221777	4392103	49101					2654506
1959	VITYA Cup (Grand-Finals)	3887258	4131691	4236387	3725201	3721406	4227646	4493903	4103558	4392955	3792658	3688614	3644527	1294192	4286045	181253	4112635				4340835
1959	osu! World Cup 2025 (Finals)	5234131	5416080	5415528	5416113	5416117		5416121	4772296	5416125	5416105	5416133	5416139	687303	3557557	5416151	1440743	4026393	5416170	5416171	5416200
